,P.AS9601,P.MED4,P.MIT9211,P.MIT9215,P.MIT9301,P.MIT9303,P.MIT9312,P.MIT9313,P.MIT9515,P.NATL1A,P.NATL2A,P.CCMP1375,S.CC9311,S.CC9605,S.CC9902,S.PCC6301,S.PCC7002,S.PCC7942,S.RCC307,S.WH7803,S.WH8102
P.NATL2A,0.0090567738059477,0.009104037947339,0.0121147995197993,0.0087745081088557,0.0092445435939219,0.0063266212237902,0.0088429710623265,0.0070166609819931,0.0087759001547252,0.4867730555497181,1.0,0.0117065290425881,0.0059330899096231,0.0059022256074718,0.0065404263564059,0.0016797262403616,0.0011345337798714,0.0017140683739584,0.00528550633506,0.0065036523340514,0.0061704731111613
P.CCMP1375,0.00901411835386,0.0089701950239436,0.0189047841441219,0.008520349942944,0.009163737311889,0.0068990091617891,0.0087673124142058,0.0076523108407422,0.0086597312351167,0.0109861717083379,0.0111995680248681,1.0,0.0061425796394956,0.0062125624766368,0.0067584855753489,0.0017982973413269,0.0011620669573502,0.0018376853393443,0.0056277349848024,0.0069242653951401,0.0064081746042135
S.CC9311,0.0068365875638329,0.0067688868075592,0.0098259539774106,0.0064470302108187,0.0069719050279193,0.0113374666177736,0.0065843551405212,0.0125631983453828,0.0065028126112979,0.0082246085719997,0.0083823745830559,0.0090711804314572,1.0,0.0157962470731416,0.0178664536932458,0.002452392865333,0.0014666005870407,0.0024987754659791,0.0115165911052543,0.0231566957046407,0.0166542725285018
S.CC9605,0.0066920997296485,0.0066891248848135,0.009658607738636,0.0063343591871549,0.0069075649316592,0.0113538690389218,0.0065180805107721,0.0124699669059816,0.0064554627478625,0.0078622376043534,0.0080377135735711,0.0088433001186578,0.0152259536477834,1.0,0.02912339518879,0.002599443367315,0.0015296765936286,0.0026482700792395,0.0128618493459467,0.0214099919962249,0.0371537407129673
S.CC9902,0.0065752478221688,0.0065543755759324,0.0091806027906468,0.0062069919430132,0.0067035671856971,0.0105094271501547,0.0063896367593113,0.0115701263841202,0.0062834151074297,0.0077835667325669,0.0079501806187813,0.0085871134683841,0.0153717445596078,0.0259953829105018,1.0,0.0023630457248882,0.0014283878740549,0.0024153712483693,0.0108826007034274,0.0173851271051396,0.0261280483813962
S.PCC6301,0.0024334635025533,0.0024541897669078,0.0028804916418861,0.0023050013255414,0.0025138376946364,0.0022049001761846,0.0023594941192996,0.0024422446946073,0.0023748456350337,0.0023986533271043,0.0024684293250716,0.0027622982458648,0.0025508569233548,0.002805083739734,0.0028568233069974,1.0,0.0031160882196379,0.9782253555896,0.0031726555929376,0.003028754444946,0.0028709104278855
S.PCC7002,0.0019597476719735,0.0019828693143193,0.0021304006992936,0.0018433671058243,0.0019936281959646,0.0014798000412888,0.0018841349386651,0.001653443864617,0.0018789955123505,0.0017994614817173,0.001859801748799,0.0019911649916367,0.0017016684249992,0.0018413320903789,0.001926302284986,0.0034759760430534,1.0,0.0035439345679019,0.0021074435745162,0.0019530743049034,0.0018637957977949
S.PCC7942,0.0024845298888555,0.0025022281976524,0.0029395375665601,0.002354565049506,0.0025653707575177,0.0022512794359829,0.0024090534663244,0.0024927363280808,0.0024195486116931,0.0024490350155428,0.002518487233592,0.0028223419920227,0.002598679440248,0.0028573087144802,0.0029196081595104,0.9780663938600646,0.0031764943423491,1.0,0.003239343993414,0.0030921548962381,0.0029330369544787
S.RCC307,0.0058233703814959,0.0058180884330105,0.0075501638153518,0.0055344237352605,0.005961978967192,0.0076565370718284,0.0057092954273731,0.0084461398831946,0.00557787273239,0.006309296148953,0.0064172597480254,0.0071420606441836,0.0098969376357593,0.0114669975319682,0.0108698807560376,0.0026212217327984,0.001560880861438,0.0026767541089143,1.0,0.0131530406047977,0.012054000626252
S.WH7803,0.0068579152898768,0.0068253848361708,0.0102422425820219,0.0064680659773851,0.0070484422988259,0.0120518203388136,0.0066676383035688,0.0133467614540584,0.0066307454721325,0.0081696467300667,0.008361859046777,0.0093056369640738,0.0210734664219134,0.0202136764755212,0.0183887606562659,0.0026498872736911,0.0015318458742785,0.0027057966489749,0.0139286384549198,1.0,0.0233097065529356
